built_year,officetel_name,trade_price,contract_date,net_leasable_area,address,legal_code,floor,ward,price_per_area
존재하지 않음,롯데월드타워앤드롯데월드몰,950000,20230110,237.18,서울특별시 송파구 신천동,1171010200,64,송파구,4005.3967450881187
1992,제일오피스텔,17600,20231108,30.06,서울특별시 송파구 가락동,1171010700,14,송파구,585.4956753160346
2004,한화오벨리스크,16800,20230130,34.9,서울특별시 송파구 가락동,1171010700,11,송파구,481.37535816618913
존재하지 않음,파크하비오,21000,20230102,23.76,서울특별시 송파구 문정동,1171010800,9,송파구,883.8383838383838
2018,송파법조타운푸르지오시티,21000,20230103,20.45,서울특별시 송파구 문정동,1171010800,12,송파구,1026.8948655256725
존재하지 않음,파크하비오,21300,20230103,23.76,서울특별시 송파구 문정동,1171010800,10,송파구,896.4646464646464
존재하지 않음,파크하비오,51000,20230104,48.93,서울특별시 송파구 문정동,1171010800,15,송파구,1042.3053341508278
2018,문정 오벨리스크,22500,20230105,24.09,서울특별시 송파구 문정동,1171010800,7,송파구,933.9975093399751
2015,송파 아이파크,57800,20230106,49.87,서울특별시 송파구 문정동,1171010800,6,송파구,1159.0134349308203
존재하지 않음,파크하비오,23000,20230109,27.53,서울특별시 송파구 문정동,1171010800,18,송파구,835.4522339266255
존재하지 않음,파크하비오,47000,20230109,48.96,서울특별시 송파구 문정동,1171010800,13,송파구,959.9673202614379
2017,문정 아이파크,23700,20231101,25.77,서울특별시 송파구 문정동,1171010800,14,송파구,919.674039580908
2017,힐스테이트에코송파,18000,20231106,21.064,서울특별시 송파구 문정동,1171010800,4,송파구,854.538549183441
존재하지 않음,파크하비오,45900,20231108,47.04,서울특별시 송파구 문정동,1171010800,14,송파구,975.765306122449
존재하지 않음,파크하비오,20400,20231108,23.24,서울특별시 송파구 문정동,1171010800,12,송파구,877.7969018932874
존재하지 않음,파크하비오,43000,20231109,48.93,서울특별시 송파구 문정동,1171010800,11,송파구,878.8064582055998
2017,힐스테이트에코송파,20000,20231208,21.064,서울특별시 송파구 문정동,1171010800,16,송파구,949.48727687049
2013,송파푸르지오시티,28000,20230130,29.63,서울특별시 송파구 문정동,1171010800,5,송파구,944.9881876476544
2019,엘루이시티,18800,20230105,17.4508,서울특별시 송파구 방이동,1171011100,7,송파구,1077.314507071309
존재하지 않음,대명벨리온,20000,20230110,17.12,서울특별시 송파구 방이동,1171011100,13,송파구,1168.2242990654204
2018,오르본 인투파크 오피스텔,31800,20231207,28.999,서울특별시 송파구 방이동,1171011100,17,송파구,1096.5895375702612
